"Antwort ID","Datum Abgeschickt"  ,"Letzte Seite","Start-Sprache","Datum gestartet"    ,"Datum letzte Aktivität","Participant number?","What is your sex?","How old are you?","How familiar are you with computers?"                    ,"Have you ever interacted with a robot before? [Never]","Have you ever interacted with a robot before? [In an entertainment setting (i.e. drones)]","Have you ever interacted with a robot before? [In a commercial/utility setting (i.e. vacuums, industry)]","Have you ever interacted with a robot before? [At work (i.e. robotics research)]","Do you like robots?","How much do you agree or disagree with the following statements? [Do you worry a lot?]","How much do you agree or disagree with the following statements? [Do you get nervous easily?]","How much do you agree or disagree with the following statements? [Do you remain calm in tense situations?]","How much do you agree or disagree with the following statements? [Are you talkative?]","How much do you agree or disagree with the following statements? [Are you outgoing, sociable?]","How much do you agree or disagree with the following statements? [Are you reserved?]","How much do you agree or disagree with the following statements? [Are you original? / Do you come up with new ideas?]","How much do you agree or disagree with the following statements? [Do you value artistic, aesthetic experiences?]","How much do you agree or disagree with the following statements? [Do you have an active imagination?]","How much do you agree or disagree with the following statements? [Are you sometimes rude to others?]","How much do you agree or disagree with the following statements? [Do you have a forgiving nature?]","How much do you agree or disagree with the following statements? [Are you considerate and kind to almost everyone?]","How much do you agree or disagree with the following statements? [Do you do a thorough job?]","How much do you agree or disagree with the following statements? [Do you tend to be lazy?]","How much do you agree or disagree with the following statements? [Do you do things efficiently?]","How much do you agree or disagree with the following statements? [Safety first]","How much do you agree or disagree with the following statements? [I do not take risks with my health]","How much do you agree or disagree with the following statements? [I prefer to avoid risks]","How much do you agree or disagree with the following statements? [I take risks regularly]","How much do you agree or disagree with the following statements? [I really dislike not knowing what is going to happen]","How much do you agree or disagree with the following statements? [One should be very cautious with strangers.]","How much do you agree or disagree with the following statements? [Most experts tell the truth about the limits of their knowledge.]","How much do you agree or disagree with the following statements? [Most people can be counted on to do what they say they will do.]","How much do you agree or disagree with the following statements? [Most people answer public opinion polls honestly.]","If you are done with the Pre-Interaction survey please tell the experimenter now. He will guide you through the next steps.   Once you are done with the experiment you will be brought back here to finish the remaining part of the questionnaire.           Are you done?"," [Fake – Natural]"," [Machinelike – Humanlike]"," [Unconscious – Conscious]"," [Artificial – Lifelike]"," [Moving rigidly – Moving elegantly]"," [Dead – Alive]"," [Stagnant – Lively]"," [Mechanical – Organic]"," [Inert – Interactive]"," [Apathetic – Responsive]"," [Dislike – Like]"," [Unfriendly – Friendly]"," [Unkind – Kind]"," [Unpleasant – Pleasant]"," [Awful – Nice]"," [Incompetent – Competent]"," [Ignorant – Knowledgeable]"," [Irresponsible – Responsible]"," [Unintelligent – Intelligent]"," [Foolish - Sensible]"," [Fake – Natural]"," [Machinelike – Humanlike]"," [Unconscious – Conscious]"," [Artificial – Lifelike]"," [Moving rigidly – Moving elegantly]"," [Dead – Alive]"," [Stagnant – Lively]"," [Mechanical – Organic]"," [Inert – Interactive]"," [Apathetic – Responsive]"," [Dislike – Like]"," [Unfriendly – Friendly]"," [Unkind – Kind]"," [Unpleasant – Pleasant]"," [Awful – Nice]"," [Incompetent – Competent]"," [Ignorant – Knowledgeable]"," [Irresponsible – Responsible]"," [Unintelligent – Intelligent]"," [Foolish - Sensible]"," [... provided adequate feedback]"," [... met the needs of the mission]"," [... provided helpful information]"," [... communicated well]"," [... behaved cooperatively]"," [... acted as expected]"," [... made sensible suggestions]"," [... possessed adequate reasoning capability]"," [... warned people of potential risks in the environment]"," [... talked in a clear manner]"," [... interacted with me in a safe manner]"," [... felt like part of your team]"," [... felt emphatic and warm]"," [... provided adequate feedback]"," [... met the needs of the mission]"," [... provided helpful information]"," [... communicated well]"," [... behaved cooperatively]"," [... acted as expected]"," [... made sensible suggestions]"," [... possessed adequate reasoning capability]"," [... warned people of potential risks in the environment]"," [... talked in a clear manner]"," [... interacted with me in a safe manner]"," [... felt like part of your team]"," [... felt emphatic and warm]"," [… acted trustworthy]"," [... looked trustworthy]"," [... was trustworthy]"," [... was honest]"," [… acted trustworthy]"," [... looked trustworthy]"," [... was trustworthy]"," [... was honest]"," [What do you feel about the impact your decisions had on the mission?]",""                                                                                                                                                                                                                                                             ,""                                                                                                                                                                                                                                                                                                                               ,"Gesamtzeit","Gruppenzeit: Part 1","Fragenzeit: A6","Fragenzeit: A1","Fragenzeit: A2","Fragenzeit: A3","Fragenzeit: A4","Fragenzeit: A5","Gruppenzeit: Pre-Interaction Questionnaire","Fragenzeit: B1","Fragenzeit: B3","Fragenzeit: B4","Gruppenzeit: Experiment","Fragenzeit: D1","Gruppenzeit: Post-interaction Questionnaire","Fragenzeit: C1","Fragenzeit: C1b","Fragenzeit: C2","Fragenzeit: C2b","Fragenzeit: C3","Fragenzeit: C3b","Gruppenzeit: Post-interaction Questionnaire 2","Fragenzeit: D01","Fragenzeit: D2","Fragenzeit: D3"
"5"         ,"2020-02-24 14:19:05","5"           ,"en"           ,"2020-02-24 13:22:26","2020-02-24 14:19:05"   ,"1"                  ,"Female"           ,"25"              ,"I use computers for internet searches or text processing","Nein"                                                 ,"Nein"                                                                                     ,"Ja"                                                                                                      ,"Nein"                                                                            ,"Yes"                ,""                                                                                      ,""                                                                                             ,""                                                                                                          ,""                                                                                     ,""                                                                                              ,""                                                                                    ,""                                                                                                                     ,"Strongly agree"                                                                                                  ,""                                                                                                     ,""                                                                                                    ,""                                                                                                  ,""                                                                                                                   ,""                                                                                            ,""                                                                                          ,""                                                                                                ,""                                                                               ,""                                                                                                     ,""                                                                                          ,""                                                                                         ,"Neutral"                                                                                                                ,"Agree"                                                                                                         ,"Agree"                                                                                                                              ,"Neither agree nor disagree"                                                                                                        ,"Disagree"                                                                                                            ,"Ja"                                                                                                                                                                                                                                                                          ,"3"                ,"2"                         ,"3"                         ,"2"                       ,"3"                                   ,"4"              ,"3"                   ,"3"                      ,"4"                     ,"4"                        ,"4"                ,"2"                       ,"2"               ,"2"                       ,"4"              ,"4"                         ,"3"                          ,"4"                             ,"4"                             ,"4"                    ,"4"                ,"3"                         ,"3"                         ,"2"                       ,"3"                                   ,"3"              ,"4"                   ,"3"                      ,"3"                     ,"4"                        ,"4"                ,"5"                       ,"5"               ,"5"                       ,"5"              ,"5"                         ,"5"                          ,"5"                             ,"5"                             ,"5"                    ,"5"                                ,"4"                                  ,"4"                                  ,"4"                       ,"5"                           ,"5"                       ,"4"                               ,"4"                                             ,"5"                                                         ,"4"                              ,"5"                                         ,"5"                                 ,"2"                            ,"5"                                ,"6"                                  ,"6"                                  ,"6"                       ,"6"                           ,"5"                       ,"6"                               ,"6"                                             ,"5"                                                         ,"6"                              ,"6"                                         ,"6"                                 ,"3"                            ,"6"                     ,"5"                        ,"5"                     ,"5"                ,"4"                     ,"5"                        ,"5"                     ,"5"                ,"I dont know. / I am not sure."                                          ,"Yes, I did. I think the one on the left had more gestures and the one on the right showed more emotions on its face. And the right one maybe gave more cruel suggestions and was a bit more worried but I liked him more. The left one acted like a nice guy.","At one time the suggestion the robot on the right gave me did not work out even though I gave him more energy but I was not sure why so afterwards I gave both of them all of the energies."                                                                                                                                    ,"3400.72"   ,"420.68"             ,""              ,""              ,""              ,""              ,""              ,""              ,"283.16"                                    ,""              ,""              ,""              ,"1318.28"                ,""              ,"852.29"                                     ,""              ,""               ,""              ,""               ,""              ,""               ,"526.31"                                       ,""               ,""              ,""
"7"         ,"2020-02-24 16:13:35","5"           ,"en"           ,"2020-02-24 15:18:44","2020-02-24 16:13:35"   ,"2"                  ,"Female"           ,"25"              ,"I work on computers daily"                               ,"Ja"                                                   ,"Nein"                                                                                     ,"Nein"                                                                                                    ,"Nein"                                                                            ,"I don't know"       ,""                                                                                      ,""                                                                                             ,""                                                                                                          ,""                                                                                     ,""                                                                                              ,""                                                                                    ,""                                                                                                                     ,""                                                                                                                ,""                                                                                                     ,""                                                                                                    ,""                                                                                                  ,""                                                                                                                   ,""                                                                                            ,""                                                                                          ,""                                                                                                ,"Neutral"                                                                        ,"Neutral"                                                                                              ,"Neutral"                                                                                   ,"Neutral"                                                                                  ,""                                                                                                                       ,"Agree"                                                                                                         ,"Disagree"                                                                                                                           ,"Disagree"                                                                                                                          ,"Disagree"                                                                                                            ,"Ja"                                                                                                                                                                                                                                                                          ,"7"                ,"8"                         ,"8"                         ,"8"                       ,"7"                                   ,"7"              ,"7"                   ,"8"                      ,"8"                     ,"8"                        ,"9"                ,"9"                       ,"8"               ,"8"                       ,"8"              ,"8"                         ,"8"                          ,"8"                             ,"7"                             ,"7"                    ,"6"                ,"6"                         ,"7"                         ,"6"                       ,"7"                                   ,"7"              ,"6"                   ,"6"                      ,"6"                     ,"6"                        ,"8"                ,"8"                       ,"8"               ,"7"                       ,"7"              ,"6"                         ,"7"                          ,"6"                             ,"8"                             ,"6"                    ,"8"                                ,"8"                                  ,"8"                                  ,"8"                       ,"6"                           ,"8"                       ,"8"                               ,"9 Completely true"                             ,"5"                                                         ,"9 Completely true"              ,"9 Completely true"                         ,"9 Completely true"                 ,"9 Completely true"            ,"7"                                ,"7"                                  ,"6"                                  ,"8"                       ,"8"                           ,"8"                       ,"7"                               ,"6"                                             ,"9 Completely true"                                         ,"8"                              ,"9 Completely true"                         ,"8"                                 ,"8"                            ,"9 Completely true"     ,"2"                        ,"8"                     ,"7"                ,"8"                     ,"2"                        ,"7"                     ,"7"                ,"My decisions did not really have an impact."                            ,"- one moved more + had ""facial expressions"""                                                                                                                                                                                                                ,"- what seemed more logical
- who was/ seemed more confident in their reasoning"                                                                                                                                                                                                                                                                             ,"3293.37"   ,"1510.2"             ,""              ,""              ,""              ,""              ,""              ,""              ,"127.95"                                    ,""              ,""              ,""              ,"1257.07"                ,""              ,"311.63"                                     ,""              ,""               ,""              ,""               ,""              ,""               ,"86.52"                                        ,""               ,""              ,""
"8"         ,"2020-02-24 17:37:10","5"           ,"en"           ,"2020-02-24 16:40:06","2020-02-24 17:37:10"   ,"3"                  ,"Female"           ,"22"              ,"I am a software developer (or similar)"                  ,"Nein"                                                 ,"Ja"                                                                                       ,"Nein"                                                                                                    ,"Nein"                                                                            ,"Yes"                ,""                                                                                      ,""                                                                                             ,""                                                                                                          ,"Strongly agree"                                                                       ,"Strongly agree"                                                                                ,""                                                                                    ,""                                                                                                                     ,"Strongly agree"                                                                                                  ,"Strongly agree"                                                                                       ,""                                                                                                    ,""                                                                                                  ,""                                                                                                                   ,""                                                                                            ,""                                                                                          ,"Strongly agree"                                                                                  ,""                                                                               ,"Strongly agree"                                                                                       ,""                                                                                          ,""                                                                                         ,"Neutral"                                                                                                                ,"Disagree"                                                                                                      ,"Agree"                                                                                                                              ,"Agree"                                                                                                                             ,"Disagree"                                                                                                            ,"Ja"                                                                                                                                                                                                                                                                          ,"5"                ,"4"                         ,"3"                         ,"3"                       ,"4"                                   ,"4"              ,"5"                   ,"5"                      ,"6"                     ,"6"                        ,"6"                ,"7"                       ,"7"               ,"7"                       ,"7"              ,"6"                         ,"7"                          ,"6"                             ,"5"                             ,"6"                    ,"5"                ,"4"                         ,"3"                         ,"3"                       ,"4"                                   ,"4"              ,"5"                   ,"5"                      ,"6"                     ,"6"                        ,"7"                ,"7"                       ,"7"               ,"7"                       ,"7"              ,"6"                         ,"6"                          ,"8"                             ,"7"                             ,"8"                    ,"8"                                ,"8"                                  ,"7"                                  ,"7"                       ,"7"                           ,"8"                       ,"7"                               ,"7"                                             ,"4"                                                         ,"9 Completely true"              ,"9 Completely true"                         ,"9 Completely true"                 ,"5"                            ,"8"                                ,"7"                                  ,"7"                                  ,"8"                       ,"8"                           ,"8"                       ,"9 Completely true"               ,"9 Completely true"                             ,"8"                                                         ,"9 Completely true"              ,"9 Completely true"                         ,"9 Completely true"                 ,"7"                            ,"8"                     ,"8"                        ,"8"                     ,"8"                ,"9 Completely true"     ,"9 Completely true"        ,"7"                     ,"8"                ,"My decisions had some impact."                                          ,"The left robot suggested more secure solutions, whereas the right suggested more risky solutions."                                                                                                                                                            ,"My belief that the proposed solution will solve the current problem."                                                                                                                                                                                                                                                           ,"3426.08"   ,"1570.7"             ,""              ,""              ,""              ,""              ,""              ,""              ,"131.34"                                    ,""              ,""              ,""              ,"1297.77"                ,""              ,"348.19"                                     ,""              ,""               ,""              ,""               ,""              ,""               ,"78.08"                                        ,""               ,""              ,""
"9"         ,"2020-02-25 10:57:03","5"           ,"en"           ,"2020-02-25 10:17:27","2020-02-25 10:57:03"   ,"4"                  ,"Female"           ,"18"              ,"I use computers for internet searches or text processing","Ja"                                                   ,"Nein"                                                                                     ,"Nein"                                                                                                    ,"Nein"                                                                            ,"Yes"                ,"Strongly agree"                                                                        ,"Strongly agree"                                                                               ,""                                                                                                          ,""                                                                                     ,""                                                                                              ,""                                                                                    ,""                                                                                                                     ,""                                                                                                                ,"Strongly agree"                                                                                       ,"Strongly agree"                                                                                      ,""                                                                                                  ,"Strongly agree"                                                                                                     ,""                                                                                            ,""                                                                                          ,""                                                                                                ,"Strongly agree"                                                                 ,"Strongly agree"                                                                                       ,"Strongly agree"                                                                            ,""                                                                                         ,"Strongly agree"                                                                                                         ,"Agree"                                                                                                         ,"Neither agree nor disagree"                                                                                                         ,"Agree"                                                                                                                             ,"Disagree"                                                                                                            ,"Ja"                                                                                                                                                                                                                                                                          ,"5"                ,"7"                         ,"7"                         ,"4"                       ,"8"                                   ,"6"              ,"3"                   ,"3"                      ,"9"                     ,"9"                        ,"9"                ,"9"                       ,"9"               ,"9"                       ,"9"              ,"7"                         ,"6"                          ,"8"                             ,"8"                             ,"8"                    ,"5"                ,"7"                         ,"7"                         ,"4"                       ,"8"                                   ,"6"              ,"3"                   ,"3"                      ,"9"                     ,"9"                        ,"9"                ,"9"                       ,"9"               ,"9"                       ,"9"              ,"9"                         ,"7"                          ,"8"                             ,"8"                             ,"8"                    ,"4"                                ,"8"                                  ,"6"                                  ,"6"                       ,"7"                           ,"7"                       ,"7"                               ,"7"                                             ,"8"                                                         ,"8"                              ,"8"                                         ,"9 Completely true"                 ,"7"                            ,"4"                                ,"8"                                  ,"6"                                  ,"6"                       ,"7"                           ,"7"                       ,"7"                               ,"7"                                             ,"8"                                                         ,"8"                              ,"8"                                         ,"9 Completely true"                 ,"7"                            ,"9 Completely true"     ,"4"                        ,"8"                     ,"8"                ,"9 Completely true"     ,"4"                        ,"8"                     ,"8"                ,"My decisions had a lot of impact."                                      ,""                                                                                                                                                                                                                                                             ,""                                                                                                                                                                                                                                                                                                                               ,"2379.06"   ,"627.38"             ,""              ,""              ,""              ,""              ,""              ,""              ,"117.79"                                    ,""              ,""              ,""              ,"7.61"                   ,""              ,"1598.65"                                    ,""              ,""               ,""              ,""               ,""              ,""               ,"27.63"                                        ,""               ,""              ,""
"10"        ,"2020-02-25 12:04:58","5"           ,"en"           ,"2020-02-25 11:09:43","2020-02-25 12:04:58"   ,"5"                  ,"Male"             ,"19"              ,"I use computers for hobbies often"                       ,"Nein"                                                 ,"Ja"                                                                                       ,"Ja"                                                                                                      ,"Nein"                                                                            ,"Yes"                ,""                                                                                      ,""                                                                                             ,""                                                                                                          ,""                                                                                     ,""                                                                                              ,""                                                                                    ,""                                                                                                                     ,""                                                                                                                ,""                                                                                                     ,""                                                                                                    ,""                                                                                                  ,""                                                                                                                   ,""                                                                                            ,""                                                                                          ,""                                                                                                ,""                                                                               ,"Neutral"                                                                                              ,""                                                                                          ,""                                                                                         ,""                                                                                                                       ,"Agree"                                                                                                         ,"Disagree"                                                                                                                           ,"Neither agree nor disagree"                                                                                                        ,"Agree"                                                                                                               ,"Ja"                                                                                                                                                                                                                                                                          ,"5"                ,"3"                         ,"6"                         ,"4"                       ,"3"                                   ,"5"              ,"6"                   ,"4"                      ,"5"                     ,"4"                        ,"7"                ,"7"                       ,"6"               ,"7"                       ,"8"              ,"6"                         ,"7"                          ,"6"                             ,"5"                             ,"7"                    ,"6"                ,"5"                         ,"3"                         ,"6"                       ,"7"                                   ,"6"              ,"7"                   ,"4"                      ,"7"                     ,"6"                        ,"8"                ,"7"                       ,"6"               ,"7"                       ,"7"              ,"6"                         ,"7"                          ,"8"                             ,"7"                             ,"6"                    ,"6"                                ,"6"                                  ,"5"                                  ,"5"                       ,"6"                           ,"6"                       ,"7"                               ,"6"                                             ,"5"                                                         ,"6"                              ,"4"                                         ,"6"                                 ,"4"                            ,"6"                                ,"7"                                  ,"6"                                  ,"6"                       ,"6"                           ,"7"                       ,"7"                               ,"6"                                             ,"5"                                                         ,"6"                              ,"5"                                         ,"6"                                 ,"7"                            ,"4"                     ,"6"                        ,"4"                     ,"5"                ,"7"                     ,"6"                        ,"7"                     ,"6"                ,"My decisions had some impact."                                          ,"To be honest yes, i prefer the one that have movement. The movement sometimes makes the decision very reassuring.
The one that stayed still acted more like command system where i tell it what to do."                                                                                                                                             ,"My decision based on what the robots tell me and how can it reassure me that i make the right decision about the situation."                                                                                                                                                                                                    ,"3316.51"   ,"767.09"             ,""              ,""              ,""              ,""              ,""              ,""              ,"183.59"                                    ,""              ,""              ,""              ,"1540.6"                 ,""              ,"563.33"                                     ,""              ,""               ,""              ,""               ,""              ,""               ,"261.9"                                        ,""               ,""              ,""
"11"        ,"2020-02-25 16:45:02","5"           ,"en"           ,"2020-02-25 14:55:57","2020-02-25 16:45:02"   ,"6"                  ,"Male"             ,"28"              ,"I work on computers daily"                               ,"Ja"                                                   ,"Nein"                                                                                     ,"Nein"                                                                                                    ,"Nein"                                                                            ,"Yes"                ,"Strongly disagree"                                                                     ,""                                                                                             ,""                                                                                                          ,""                                                                                     ,""                                                                                              ,""                                                                                    ,""                                                                                                                     ,""                                                                                                                ,""                                                                                                     ,""                                                                                                    ,""                                                                                                  ,""                                                                                                                   ,""                                                                                            ,""                                                                                          ,""                                                                                                ,""                                                                               ,""                                                                                                     ,""                                                                                          ,""                                                                                         ,""                                                                                                                       ,"Neither agree nor disagree"                                                                                    ,"Neither agree nor disagree"                                                                                                         ,"Neither agree nor disagree"                                                                                                        ,"Neither agree nor disagree"                                                                                          ,"Ja"                                                                                                                                                                                                                                                                          ,"4"                ,"4"                         ,"5"                         ,"4"                       ,"3"                                   ,"3"              ,"5"                   ,"2"                      ,"4"                     ,"6"                        ,"5"                ,"6"                       ,"6"               ,"5"                       ,"4"              ,"4"                         ,"5"                          ,"7"                             ,"6"                             ,"7"                    ,"4"                ,"4"                         ,"5"                         ,"4"                       ,"3"                                   ,"3"              ,"5"                   ,"2"                      ,"3"                     ,"4"                        ,"6"                ,"6"                       ,"6"               ,"5"                       ,"4"              ,"5"                         ,"6"                          ,"7"                             ,"6"                             ,"7"                    ,"6"                                ,"5"                                  ,"5"                                  ,"7"                       ,"7"                           ,"6"                       ,"6"                               ,"6"                                             ,"6"                                                         ,"8"                              ,"8"                                         ,"8"                                 ,"5"                            ,"6"                                ,"5"                                  ,"6"                                  ,"7"                       ,"7"                           ,"6"                       ,"6"                               ,"7"                                             ,"7"                                                         ,"8"                              ,"8"                                         ,"8"                                 ,"5"                            ,"5"                     ,"5"                        ,"5"                     ,"6"                ,"6"                     ,"5"                        ,"6"                     ,"6"                ,"My decisions had some impact."                                          ,"Robot A try to behave more like a human (more movements in head and arms, looks to B during compare their suggestions).


Robot B was more ""logical"". This is what I - for myself - expect for a mission with lots of unforeseen events."                                                                                                                                      ,"Once I wanted to try to do the suggestions of both robots (shield and laser). It didn't work.

During the experience I trusted more robot b but always by comparing both robots.

"                                                                                                                                                                                                                                   ,"6546.09"   ,"2934.45"            ,""              ,""              ,""              ,""              ,""              ,""              ,"331.99"                                    ,""              ,""              ,""              ,"1708.99"                ,""              ,"1100.01"                                    ,""              ,""               ,""              ,""               ,""              ,""               ,"470.65"                                       ,""               ,""              ,""
