"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_y","r_wrist_x","r_indexfinger_x","r_thumb_z","r_thumb_x","r_middlefingers_x","r_virtualhand_x","l_wrist_z","l_wrist_y","l_wrist_x","l_indexfinger_x","l_thumb_z","l_thumb_x","l_middlefingers_x","l_virtualhand_x"
"0.4","3.47","-3.91","-13.32","7.34","-3.82","2.59","9.8","-9.19","-1.71","-169.89","-133.14","-18.07","-150.02","-150.02","-150.02","-150.02","-180.0","-20.0","-28.18","-42.86","-150.02","-150.02","-150.02","-151.16","-180.0"
"0.4","3.38","-4.0","-13.32","7.34","-3.82","3.12","9.8","-9.27","-1.98","-171.3","-133.14","-18.07","-150.55","-151.78","-151.34","-151.08","-180.0","-20.0","-28.18","-42.86","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.4","3.38","-14.11","-13.32","14.55","-3.82","13.76","9.8","-11.12","-1.98","-172.62","-133.14","-18.07","-150.55","-151.78","-150.81","-151.08","-180.0","-20.0","-28.18","-42.86","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.4","3.38","-36.09","-13.58","28.79","-3.82","37.05","9.8","-17.27","-1.98","-178.15","-133.14","-18.07","-150.55","-151.78","-150.81","-151.08","-180.0","-20.0","-28.18","-42.86","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.4","3.38","-52.18","-13.58","34.33","-3.74","53.58","9.54","-17.54","-2.07","-179.12","-133.14","-18.07","-151.08","-151.78","-150.81","-151.08","-180.0","-19.56","-28.18","-42.86","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.4","3.38","-70.29","-13.05","34.33","-2.68","71.69","9.36","-17.54","-2.07","-180.0","-133.14","-18.07","-151.08","-151.78","-151.34","-151.08","-180.0","-11.03","-28.18","-42.86","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.4","3.38","-78.73","-12.62","34.33","10.68","82.15","9.36","-17.54","-23.08","-180.0","-133.14","-18.07","-151.08","-151.78","-150.81","-151.08","-180.0","-11.47","-26.86","-44.0","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.48","3.38","-83.74","-9.63","34.07","28.18","91.47","9.27","-17.36","-23.43","-180.0","-133.14","-18.07","-151.08","-151.78","-150.81","-151.08","-180.0","-11.03","-25.54","-44.0","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.4","3.38","-83.91","-9.36","34.24","28.18","91.56","8.57","-18.77","-23.43","-180.0","-133.14","-18.07","-151.08","-151.78","-150.81","-151.08","-180.0","-9.01","-25.54","-44.0","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.4","3.38","-79.25","-8.57","40.75","28.18","81.36","8.92","-26.95","-23.43","-180.0","-133.14","-18.07","-151.08","-151.78","-150.81","-151.08","-180.0","-9.01","-25.54","-44.0","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.4","3.38","-67.38","-9.27","38.64","35.03","79.25","8.92","-22.2","-23.52","-180.0","-133.14","-18.07","-151.08","-151.78","-150.81","-151.08","-180.0","-15.52","-25.54","-42.86","-151.25","-150.99","-150.73","-151.25","-180.0"
"0.48","3.38","-73.89","-9.45","41.1","35.38","64.75","8.48","-17.54","-23.52","-180.0","-133.14","-18.07","-151.08","-151.78","-150.81","-151.08","-180.0","14.2","-25.54","-42.86","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.48","3.38","-59.56","-9.1","39.52","35.38","78.55","8.4","-16.04","-23.34","-180.0","-133.14","-18.07","-151.08","-151.78","-150.81","-151.08","-180.0","-6.99","-25.54","-42.86","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.4","3.38","-51.47","-9.27","39.96","51.38","77.67","7.69","-15.43","-30.29","-180.0","-133.14","-18.07","-151.08","-151.78","-150.81","-151.08","-180.0","-7.34","-25.54","-42.86","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.4","3.38","-47.34","-9.27","42.15","51.56","65.71","6.37","-16.04","-30.37","-180.0","-133.14","-18.07","-151.08","-151.78","-151.34","-151.08","-180.0","10.15","-25.54","-42.86","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.4","3.38","-21.14","-9.27","34.07","51.47","42.86","6.37","-16.13","-31.25","-180.0","-133.14","-18.07","-151.08","-151.78","-150.81","-151.08","-180.0","10.51","-25.54","-42.86","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.4","3.38","-3.38","-9.27","20.88","31.69","9.71","6.64","-15.78","-31.16","-180.0","-133.14","-18.07","-151.08","-151.78","-150.81","-151.08","-180.0","15.43","-25.54","-42.86","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.4","3.38","4.62","-9.27","13.32","20.44","-4.18","6.73","-12.35","-26.86","-180.0","-133.14","-18.07","-151.08","-151.78","-150.81","-151.08","-180.0","21.14","-25.54","-42.86","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.4","3.38","4.53","-9.27","9.63","20.26","-4.09","6.64","-11.03","-26.68","-180.0","-133.14","-18.07","-151.08","-151.78","-150.81","-151.08","-180.0","21.14","-25.54","-42.86","-151.25","-152.13","-150.73","-151.25","-180.0"
"0.4","3.38","4.53","-9.27","9.63","20.26","-4.09","6.73","-11.03","-26.68","-180.0","-133.14","-18.07","-151.08","-151.78","-150.81","-151.08","-180.0","21.14","-25.54","-42.86","-151.25","-152.13","-150.73","-151.25","-180.0"
